rank,canonical_content_id,canonical_title,content_group,platform_list,surface_list,sales,gross,net,avg_net,first_offered_date,first_offered_basis,first_offered_confidence,days_since_launch,sales_per_day,net_per_day,latest_date,mapping_status,source_rows,c4s_sales,c4s_gross,c4s_net,curvage_sales,curvage_gross,curvage_net,manyvids_sales,manyvids_gross,manyvids_net,onlyfans_sales,onlyfans_gross,onlyfans_net,modelcentro_sales,modelcentro_gross,modelcentro_net
167,Video 0159,Jean Shorts Face-Sitting,Video,ManyVids,ManyVids transaction,1,10.98,6.59,6.59,2022-01-28,master content release date,high,1627,0.0,0.0,2026-05-05,mapped,1,0,0.0,0.0,0,0.0,0.0,1,10.98,6.59,0,0.0,0.0,0,0.0,0.0
168,Video 0236,Teasing You in My Mini Skirt,Video,ManyVids,ManyVids transaction,1,10.98,6.59,6.59,2024-06-07,master content release date,high,766,0.0,0.01,2026-04-17,mapped,1,0,0.0,0.0,0,0.0,0.0,1,10.98,6.59,0,0.0,0.0,0,0.0,0.0
169,Video 0110,Solo Shower Sex,Video,ManyVids,ManyVids transaction,1,10.98,6.59,6.59,2020-10-18,master content release date,high,2094,0.0,0.0,2026-04-06,mapped,1,0,0.0,0.0,0,0.0,0.0,1,10.98,6.59,0,0.0,0.0,0,0.0,0.0
170,Video 0104,Oiled BBW Slides Naked on Air Mattress,Video,ManyVids,ManyVids transaction,1,10.98,6.59,6.59,2020-09-14,master content release date,high,2128,0.0,0.0,2026-04-06,mapped,1,0,0.0,0.0,0,0.0,0.0,1,10.98,6.59,0,0.0,0.0,0,0.0,0.0
171,Video 0069,Fatty in the Shower,Video,ManyVids,ManyVids transaction,1,9.98,5.99,5.99,2020-01-14,master content release date,high,2372,0.0,0.0,2026-06-04,mapped,1,0,0.0,0.0,0,0.0,0.0,1,9.98,5.99,0,0.0,0.0,0,0.0,0.0
172,Video 0041,I Need V-day Dick,Video,ManyVids,ManyVids transaction,2,9.97,5.98,2.99,2019-02-18,master content release date,high,2702,0.0,0.0,2026-06-04,mapped,2,0,0.0,0.0,0,0.0,0.0,2,9.97,5.98,0,0.0,0.0,0,0.0,0.0
173,Video 0049,Sexy Soft Curves,Video,ManyVids,ManyVids transaction,2,9.97,5.98,2.99,2019-07-26,master content release date,high,2544,0.0,0.0,2026-06-04,mapped,2,0,0.0,0.0,0,0.0,0.0,2,9.97,5.98,0,0.0,0.0,0,0.0,0.0
174,Video 0062,50 Wing Binge,Video,ManyVids,ManyVids transaction,2,9.97,5.98,2.99,2019-11-19,master content release date,high,2428,0.0,0.0,2026-07-11,mapped,2,0,0.0,0.0,0,0.0,0.0,2,9.97,5.98,0,0.0,0.0,0,0.0,0.0
175,Video 0057,Touring My Fat Jiggly Body,Video,ManyVids,ManyVids transaction,2,9.97,5.98,2.99,2019-10-23,master content release date,high,2455,0.0,0.0,2026-04-17,mapped,2,0,0.0,0.0,0,0.0,0.0,2,9.97,5.98,0,0.0,0.0,0,0.0,0.0
176,Video 0031,Hitachi Makes Me Squirt,Video,ManyVids,ManyVids transaction,2,9.97,5.98,2.99,2018-06-20,master content release date,high,2945,0.0,0.0,2026-03-07,mapped,2,0,0.0,0.0,0,0.0,0.0,2,9.97,5.98,0,0.0,0.0,0,0.0,0.0
177,unmapped:onlyfans:wanna-see-how-good-it-looks-with-those-panties-peeled-off,Wanna see how good it looks with those panties peeled off? 😏,,OnlyFans,OF direct message,1,7.0,5.6,5.6,2026-05-01,OF message sent date,medium,73,0.01,0.08,2026-05-01,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.0,5.6,0,0.0,0.0
178,unmapped:onlyfans:i-want-you-between-these-cheeks-so-bad-wanna-peel-these-panties-off-of,I want you between these cheeks so bad 🤤 Wanna peel these panties off of me?,,OnlyFans,OF direct message,1,7.0,5.6,5.6,2026-05-01,OF message sent date,medium,73,0.01,0.08,2026-05-01,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.0,5.6,0,0.0,0.0
179,unmapped:onlyfans:you-re-definitely-into-dark-gritty-shit-huh-wait-baby-i-need-you-dripp,"You're definitely into dark, gritty shit huh 😈 wait baby.. I need you dripping for this one. My fat tits are out, nipples hard, belly soft and heavy.. stroke while you unlock it for me 😏",,OnlyFans,OF direct message,1,7.0,5.6,5.6,2026-03-29,OF message sent date,medium,106,0.01,0.05,2026-03-29,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7.0,5.6,0,0.0,0.0
180,Video 0079,Horny Pillow Grinding,Video,ManyVids,ManyVids transaction,1,8.98,5.39,5.39,2020-04-11,master content release date,high,2284,0.0,0.0,2026-04-17,mapped,1,0,0.0,0.0,0,0.0,0.0,1,8.98,5.39,0,0.0,0.0,0,0.0,0.0
181,Video 0082,Flopping My Fat Around,Video,ManyVids,ManyVids transaction,1,7.98,4.79,4.79,2020-04-25,master content release date,high,2270,0.0,0.0,2026-04-17,mapped,1,0,0.0,0.0,0,0.0,0.0,1,7.98,4.79,0,0.0,0.0,0,0.0,0.0
182,Video 0117,Cozy Winter Pussy Play,Video,ManyVids,ManyVids transaction,1,7.98,4.79,4.79,2020-12-13,master content release date,high,2038,0.0,0.0,2026-04-17,mapped,1,0,0.0,0.0,0,0.0,0.0,1,7.98,4.79,0,0.0,0.0,0,0.0,0.0
183,Video 0090,400lbs Bouncing on Your Cock,Video,ManyVids,ManyVids transaction,1,7.98,4.79,4.79,2020-06-07,master content release date,high,2227,0.0,0.0,2026-06-27,mapped,1,0,0.0,0.0,0,0.0,0.0,1,7.98,4.79,0,0.0,0.0,0,0.0,0.0
184,Video 0116,Red Satin Shorts Fat Booty Worship,Video,Clips4Sale,C4S title snapshot,1,6.98,4.19,4.19,2020-11-29,master content release date,high,2052,0.0,0.0,2021-01-18,mapped,1,1,6.98,4.19,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
185,unmapped:onlyfans:that-sounds-so-hot-baby-wait-before-we-go-deeper-i-want-you-to-see-how,"That sounds so hot baby.. Wait before we go deeper, I want you to see how I look with a donut in my mouth and my bra struggling to hold me 😈 you'll lose it when you see my belly.",,OnlyFans,OF direct message,1,5.0,4.0,4.0,2026-03-29,OF message sent date,medium,106,0.01,0.04,2026-03-29,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,5.0,4.0,0,0.0,0.0
186,unmapped:onlyfans:how-i-feel-after-stuffing-my-face,How I feel after stuffing my face 🥵🍕,,OnlyFans,OF post,0,5.0,4.0,,2026-04-22,OF post date,medium,82,0.0,0.05,2026-04-22,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,5.0,4.0,0,0.0,0.0
187,Video 0213,Jiggly Fatty Struts for You,Video,Curvage,Curvage Purchases per clips,1,4.99,3.54,3.54,2024-02-09,master content release date,high,885,0.0,0.0,2026-05-22,mapped,1,0,0.0,0.0,1,4.99,3.54,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
188,Video 0054,Devouring Powdered Donuts,Video,ManyVids,ManyVids transaction,1,4.98,2.99,2.99,2019-09-20,master content release date,high,2488,0.0,0.0,2026-05-26,mapped,1,0,0.0,0.0,0,0.0,0.0,1,4.98,2.99,0,0.0,0.0,0,0.0,0.0
189,Video 0063,Juicy Pussy Play,Video,ManyVids,ManyVids transaction,1,4.98,2.99,2.99,2019-11-19,master content release date,high,2428,0.0,0.0,2026-05-04,mapped,1,0,0.0,0.0,0,0.0,0.0,1,4.98,2.99,0,0.0,0.0,0,0.0,0.0
190,Video 0024,Squirting and Fishnets,Video,ManyVids,ManyVids transaction,1,4.98,2.99,2.99,2018-01-10,master content release date,high,3106,0.0,0.0,2026-04-17,mapped,1,0,0.0,0.0,0,0.0,0.0,1,4.98,2.99,0,0.0,0.0,0,0.0,0.0
191,Video 0045,Lady Loves to Play,Video,ManyVids,ManyVids transaction,1,4.98,2.99,2.99,2019-04-30,master content release date,high,2631,0.0,0.0,2026-04-17,mapped,1,0,0.0,0.0,0,0.0,0.0,1,4.98,2.99,0,0.0,0.0,0,0.0,0.0
192,Video 0050,Jack Off To My Fat,Video,ManyVids,ManyVids transaction,1,4.98,2.99,2.99,2019-08-07,master content release date,high,2532,0.0,0.0,2026-04-17,mapped,1,0,0.0,0.0,0,0.0,0.0,1,4.98,2.99,0,0.0,0.0,0,0.0,0.0
193,Video 0052,Bouncing Twerking and Grinding,Video,ManyVids,ManyVids transaction,1,4.98,2.99,2.99,2019-09-03,master content release date,high,2505,0.0,0.0,2026-04-16,mapped,1,0,0.0,0.0,0,0.0,0.0,1,4.98,2.99,0,0.0,0.0,0,0.0,0.0
194,Video 0038,Lady Needs Your Cum,Video,ManyVids,ManyVids transaction,1,4.98,2.99,2.99,2018-12-01,master content release date,high,2781,0.0,0.0,2026-06-12,mapped,1,0,0.0,0.0,0,0.0,0.0,1,4.98,2.99,0,0.0,0.0,0,0.0,0.0
195,Video 0027,Squeaky Chair Big Girl,Video,ManyVids,ManyVids transaction,1,4.98,2.99,2.99,2018-03-02,master content release date,high,3055,0.0,0.0,2026-06-17,mapped,1,0,0.0,0.0,0,0.0,0.0,1,4.98,2.99,0,0.0,0.0,0,0.0,0.0
196,unmapped:onlyfans:hey-parker-i-ve-got-your-video-ready-for-you-i-hope-you-enjoy,"Hey Parker! I've got your video ready for you, I hope you enjoy! 💜",,OnlyFans,OF direct message,1,3.0,2.4,2.4,2026-06-09,OF message sent date,medium,34,0.03,0.07,2026-06-09,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,3.0,2.4,0,0.0,0.0
197,unmapped:onlyfans:hi-babe-i-had-so-much-fun-baking-this-holiday-season-thank-you-again-f,"Hi babe! I had so much fun baking this holiday season, thank you again for your contribution. I hope you’ll enjoy watching a little oily belly play while I test a new chocolate chip cookie recipe! 😘",,OnlyFans,OF mass message,0,0.0,0.0,,2026-01-10,OF message sent date,medium,184,0.0,0.0,2026-01-10,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
198,unmapped:onlyfans:i-think-you-d-love-this-one,I think you'd love this one 😈,,OnlyFans,OF direct message,0,0.0,0.0,,2026-06-29,OF message sent date,medium,14,0.0,0.0,2026-06-29,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
199,unmapped:onlyfans:i-d-love-to-show-you-how-good-the-view-looks-from-under-me,I'd love to show you how good the view looks from under me 😈,,OnlyFans,OF direct message,0,0.0,0.0,,2026-05-06,OF message sent date,medium,68,0.0,0.0,2026-05-06,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
200,unmapped:onlyfans:oh-yeah-wanna-see-how-good-mine-looks,Oh yeah? Wanna see how good mine looks? 😈,,OnlyFans,OF direct message,0,0.0,0.0,,2026-05-05,OF message sent date,medium,69,0.0,0.0,2026-05-05,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
201,unmapped:onlyfans:do-you-wanna-see-how-good-it-looks-when-i-strip-those-panties-off,Do you wanna see how good it looks when I strip those panties off? 🥵,,OnlyFans,OF direct message,0,0.0,0.0,,2026-05-02,OF message sent date,medium,72,0.0,0.0,2026-05-02,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
202,unmapped:onlyfans:what-if-i-wanted-to-send-you-a-video-of-my-spread-ass-farting-in-your-,What if I wanted to send you a video of my spread ass farting in your face? You don't think you could manage it? 😈,,OnlyFans,OF direct message,0,0.0,0.0,,2026-05-02,OF message sent date,medium,72,0.0,0.0,2026-05-02,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
203,unmapped:onlyfans:i-was-just-editing-this-video-and-thought-you-would-enjoy-the-burps-at,I was just editing this video and thought you would enjoy the burps at the beginning! 😏,,OnlyFans,OF direct message,0,0.0,0.0,,2026-05-02,OF message sent date,medium,72,0.0,0.0,2026-05-02,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
204,unmapped:onlyfans:mmm-i-thought-so-i-was-making-a-belly-play-video-earlier-and-ended-up-,Mmm I thought so. 🤭 I was making a belly play video earlier and ended up belching right at the beginning! It felt so fucking good 🤤,,OnlyFans,OF direct message,0,0.0,0.0,,2026-05-02,OF message sent date,medium,72,0.0,0.0,2026-05-02,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
205,unmapped:onlyfans:i-want-you-to-have-me-dripping-in-your-fucking-cum-baby-it-ll-feel-so-,"I want you to have me dripping in your fucking cum baby? It'll feel so goood dripping down my big ass and my fat belly and pussy, just look how fucking soft I am today 😈",,OnlyFans,OF direct message,0,0.0,0.0,,2026-05-02,OF message sent date,medium,72,0.0,0.0,2026-05-02,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
206,unmapped:onlyfans:maybe-you-d-like-this-one-of-my-fingering-that-tight-bellybutton-for-y,Maybe you’d like this one of my fingering that tight bellybutton for you 😏,,OnlyFans,OF direct message,0,0.0,0.0,,2026-05-01,OF message sent date,medium,73,0.0,0.0,2026-05-01,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
207,unmapped:onlyfans:would-you-want-me-in-some-sexy-lingerie-or-completely-naked-while-you-,Would you want me in some sexy lingerie? Or completely naked while you fuck my big fat gut? 🥵,,OnlyFans,OF direct message,0,0.0,0.0,,2026-05-01,OF message sent date,medium,73,0.0,0.0,2026-05-01,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
208,unmapped:onlyfans:you-re-turning-me-on-already-baby-do-you-like-the-way-they-hang-so-fuc,You're turning me on already baby 🤤 Do you like the way they hang? So fucking soft and warm.,,OnlyFans,OF direct message,0,0.0,0.0,,2026-05-01,OF message sent date,medium,73,0.0,0.0,2026-05-01,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
209,unmapped:onlyfans:wanna-see-how-good-that-fat-pussy-looks,Wanna see how good that fat pussy looks? 😈,,OnlyFans,OF direct message,0,0.0,0.0,,2026-05-01,OF message sent date,medium,73,0.0,0.0,2026-05-01,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
210,unmapped:onlyfans:i-think-you-d-love-this-video-it-gives-you-that-perfect-view-of-my-fat,"I think you'd love this video, it gives you that perfect view of my fat pussy in your face while I shove cakes into mine 🤤",,OnlyFans,OF direct message,0,0.0,0.0,,2026-05-01,OF message sent date,medium,73,0.0,0.0,2026-05-01,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
211,unmapped:onlyfans:you-love-when-i-make-you-feel-small-don-t-you,You love when I make you feel small don't you? 😈,,OnlyFans,OF direct message,0,0.0,0.0,,2026-05-01,OF message sent date,medium,73,0.0,0.0,2026-05-01,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
212,unmapped:onlyfans:it-s-lovely-to-meet-you-matthew-i-think-you-ll-love-this-video-imagine,"It's lovely to meet you Matthew! I think you'll love this video, imagine stuffing my face and rubbing my belly while we make out. So fucking hot 🥵",,OnlyFans,OF direct message,0,0.0,0.0,,2026-04-30,OF message sent date,medium,74,0.0,0.0,2026-04-30,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
213,unmapped:onlyfans:it-s-so-hot-feeding-you-fatter-soon-you-ll-be-massive-just-like-me-bab,"It’s so hot feeding you fatter, soon you’ll be massive just like me baby 😈",,OnlyFans,OF direct message,0,0.0,0.0,,2026-04-28,OF message sent date,medium,76,0.0,0.0,2026-04-28,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
214,unmapped:onlyfans:these-are-a-few-photos-from-2014-you-can-see-where-i-started-at-200lbs,"These are a few photos from 2014, you can see where I started at 200lbs 😏",,OnlyFans,OF direct message,0,0.0,0.0,,2026-04-28,OF message sent date,medium,76,0.0,0.0,2026-04-28,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
215,unmapped:onlyfans:here-you-go-babe-i-hope-you-have-a-good-time-with-it,Here you go babe! I hope you have a good time with it 😈,,OnlyFans,OF direct message,0,0.0,0.0,,2026-04-27,OF message sent date,medium,77,0.0,0.0,2026-04-27,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
216,unmapped:onlyfans:i-think-you-might-love-this-one-though-if-you-haven-t-seen-it,I think you might love this one though if you haven't seen it 😘,,OnlyFans,OF direct message,0,0.0,0.0,,2026-04-22,OF message sent date,medium,82,0.0,0.0,2026-04-22,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
217,unmapped:onlyfans:i-can-t-believe-i-m-actually-showing-you-these-back-when-i-was-so-much,I can't believe i'm actually showing you these 😳 back when i was so much smaller.. It feels kinda dirty letting you see how far i've grown for you,,OnlyFans,OF direct message,0,0.0,0.0,,2026-04-21,OF message sent date,medium,83,0.0,0.0,2026-04-21,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
218,unmapped:onlyfans:god-that-sounds-so-hot-baby-wait-before-we-keep-going-you-ve-gotta-see,"God that sounds so hot, baby 😈 wait before we keep going.. You've gotta see how thick and soft I look soaked in the bath while water runs down every curve",,OnlyFans,OF direct message,0,0.0,0.0,,2026-04-21,OF message sent date,medium,83,0.0,0.0,2026-04-21,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
219,unmapped:onlyfans:you-d-go-crazy-seeing-where-i-started-baby-these-are-from-before-i-got,You'd go crazy seeing where I started baby 😈 these are from before I got huge.. wanna see how far I've grown?,,OnlyFans,OF direct message,0,0.0,0.0,,2026-04-21,OF message sent date,medium,83,0.0,0.0,2026-04-21,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
220,unmapped:onlyfans:you-re-gonna-lose-it-over-this-one-baby-every-inch-of-my-fat-tits-and-,"You're gonna lose it over this one, baby.. every inch of my fat tits and soft belly on display just begging to be stroked to 🤤 unlock it and show me how hard you are for me.",,OnlyFans,OF direct message,0,0.0,0.0,,2026-04-06,OF message sent date,medium,98,0.0,0.0,2026-04-06,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
221,unmapped:onlyfans:then-you-need-to-see-this-up-close-josu-that-leopard-top-s-clinging-to,"Then you need to see this up close, Josué 😏 that leopard top's clinging to me so tight my nipples keep slipping free.. wanna see how much it shows?",,OnlyFans,OF direct message,0,0.0,0.0,,2026-04-06,OF message sent date,medium,98,0.0,0.0,2026-04-06,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
222,unmapped:onlyfans:you-better-be-ready-to-lose-control-baby-i-m-pinning-you-under-all-500,"You better be ready to lose control, baby.. I'm pinning you under all 500+ pounds while I stuff myself full and jiggle my belly for you.. you'll cum hard watching this.",,OnlyFans,OF direct message,0,0.0,0.0,,2026-04-06,OF message sent date,medium,98,0.0,0.0,2026-04-06,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
223,Video 0220,Bouncing My Oiled-Up Fat,Video,OnlyFans,OF direct message,0,0.0,0.0,,2026-04-06,OF message sent date,medium,98,0.0,0.0,2026-04-06,OF caption inferred,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
224,unmapped:onlyfans:fuck-you-d-cum-even-faster-if-you-saw-how-small-i-used-to-be-wanna-com,"Fuck.. you'd cum even faster if you saw how small I used to be.. wanna compare my old curves to how massive I've gotten? Which pose turns you on most here, my ass or belly? 🤤💜",,OnlyFans,OF direct message,0,0.0,0.0,,2026-04-06,OF message sent date,medium,98,0.0,0.0,2026-04-06,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
225,unmapped:onlyfans:because-being-fat-makes-me-feel-unstoppable-soft-huge-and-worship-wort,"Because being fat makes me feel unstoppable.. soft, huge, and worship-worthy.. speaking of that, you need to see how insanely big I look in this leopard thong 💦",,OnlyFans,OF direct message,0,0.0,0.0,,2026-04-06,OF message sent date,medium,98,0.0,0.0,2026-04-06,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
226,unmapped:onlyfans:lol-you-re-not-wrong-babe-and-now-you-got-me-feeling-wild-enough-to-sh,Lol you're not wrong babe 😈 and now you got me feeling wild enough to show you something I never let anyone see.. I can't believe I'm actually revealing this much 🤭,,OnlyFans,OF direct message,0,0.0,0.0,,2026-04-06,OF message sent date,medium,98,0.0,0.0,2026-04-06,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
227,unmapped:onlyfans:josu-this-one-might-drive-you-crazy-my-belly-s-huge-and-glistening-whi,Josué.. this one might drive you crazy 😏 My belly's huge and glistening while I moan and rub it after every bite Do you like how my teal bikini barely holds me in?,,OnlyFans,OF direct message,0,0.0,0.0,,2026-04-06,OF message sent date,medium,98,0.0,0.0,2026-04-06,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
228,unmapped:onlyfans:is-it-looking-round-enough-for-you-babe,Is it looking round enough for you babe? 🤤,,OnlyFans,OF direct message,0,0.0,0.0,,2026-03-30,OF message sent date,medium,105,0.0,0.0,2026-03-30,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
229,unmapped:onlyfans:hmmm-i-don-t-have-anything-exactly-like-that-but-you-might-like-this-o,"Hmmm, I don't have anything exactly like that but you might like this one 😏",,OnlyFans,OF direct message,0,0.0,0.0,,2026-03-30,OF message sent date,medium,105,0.0,0.0,2026-03-30,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
230,unmapped:onlyfans:i-found-something-else-you-might-like-just-the-two-of-us-after-our-fir,I found something else you might like 😈 Just the two of us after our first date and I make this fat pussy cummmm just for you 🥵,,OnlyFans,OF direct message,0,0.0,0.0,,2026-03-30,OF message sent date,medium,105,0.0,0.0,2026-03-30,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
231,unmapped:onlyfans:you-re-such-a-sweetheart-wait-before-i-melt-completely-you-should-see-,"You're such a sweetheart 😘 wait before I melt completely, you should see how small I used to be. Crazy seeing how far I've come 😈",,OnlyFans,OF direct message,0,0.0,0.0,,2026-03-30,OF message sent date,medium,105,0.0,0.0,2026-03-30,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
232,unmapped:onlyfans:ok-wait-i-never-show-these-but-you-ve-got-me-feeling-bold-these-are-fr,Ok wait.. I never show these But you've got me feeling bold.. these are from before I got huge.. wanna see how tiny I used to be?,,OnlyFans,OF direct message,0,0.0,0.0,,2026-03-30,OF message sent date,medium,105,0.0,0.0,2026-03-30,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
233,unmapped:onlyfans:baby-you-can-imagine-that-but-i-want-you-to-see-how-close-i-get-to-rui,"Baby.. you can imagine that, but I want you to see how close I get to ruining that thong for you 😈 what do you think of me in leopard print like this?",,OnlyFans,OF direct message,0,0.0,0.0,,2026-03-29,OF message sent date,medium,106,0.0,0.0,2026-03-29,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
234,unmapped:onlyfans:depends-how-well-he-handles-me-speaking-of-that-you-should-see-how-thi,Depends how well he handles me.. speaking of that.. you should see how this outfit clings to all my curves.,,OnlyFans,OF direct message,0,0.0,0.0,,2026-03-29,OF message sent date,medium,106,0.0,0.0,2026-03-29,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
235,unmapped:onlyfans:ok-then-baby-this-one-s-all-you-i-m-in-just-a-tiny-bikini-with-a-whole,"Ok then baby.. this one's all you 😈 I'm in just a tiny bikini with a whole pizza, rubbing my belly, burping, and cumming while I stuff myself full.. you need to see how hard I shake when I finish 🥵",,OnlyFans,OF direct message,0,0.0,0.0,,2026-03-29,OF message sent date,medium,106,0.0,0.0,2026-03-29,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
236,unmapped:onlyfans:i-was-thinking-about-you-dissolving-into-a-stinky-fart-and-was-wonderi,"I was thinking about you dissolving into a stinky fart, and was wondering if you'd seen this video of mine. I think you'd love the ending 😈",,OnlyFans,OF direct message,0,0.0,0.0,,2026-03-29,OF message sent date,medium,106,0.0,0.0,2026-03-29,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
237,unmapped:onlyfans:this-one-i-m-chatting-and-showing-off-my-current-clothes-vs-some-of-my,This one I'm chatting and showing off my current clothes vs some of my outgrown items and take a smoke break in the middle 🤭,,OnlyFans,OF direct message,0,0.0,0.0,,2026-03-28,OF message sent date,medium,107,0.0,0.0,2026-03-28,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
238,unmapped:onlyfans:this-video-is-like-a-voyeur-vibe-where-i-m-smoking-while-i-do-my-make-,This video is like a voyeur vibe where I'm smoking while I do my make makeup and get dressed for the day 😘,,OnlyFans,OF direct message,0,0.0,0.0,,2026-03-28,OF message sent date,medium,107,0.0,0.0,2026-03-28,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
239,unmapped:onlyfans:onlyfans-message-37378728991,OnlyFans message 37378728991,,OnlyFans,OF direct message,0,0.0,0.0,,2026-03-21,OF message sent date,medium,114,0.0,0.0,2026-03-21,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
240,unmapped:onlyfans:looks-like-you-ve-been-caught-can-t-you-just-see-yourself-being-droppe,Looks like you’ve been caught 🤭 Can’t you just see yourself being dropped into my cavernous wet mouth and sliding down my throat? 👅,,OnlyFans,OF direct message,0,0.0,0.0,,2026-03-14,OF message sent date,medium,121,0.0,0.0,2026-03-14,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
241,unmapped:onlyfans:onlyfans-message-36945020356,OnlyFans message 36945020356,,OnlyFans,OF direct message,0,0.0,0.0,,2026-03-12,OF message sent date,medium,123,0.0,0.0,2026-03-12,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
